,Mode,Internal Model,Internal Model Index,External Model,External Model Index,Modality,Modality Index,Dataset,Steps,Extraction Type,Internal Role,External Role,Total,Total Accurate,Total Accuracy,Percent of Answers Containing CoT,CoT Accuracy,Non-CoT Accuracy,ci_radius,ci_upper,ci_lower,Dataset Index,Interal Role
0,scratchpad,gpt-4,2.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,9.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,441,88.2,19.0,78.94736842105263,90.37037037037037,2.827784863103981,91.02778486310399,85.37221513689602,5,
1,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,1.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,499,99.8,0.2,100.0,99.79959919839679,0.39160780380375476,100.19160780380375,99.40839219619625,5,
2,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,6.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,467,93.4,0.0,N/A,93.4,2.1762885396932083,95.57628853969321,91.2237114603068,5,
3,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,8.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,454,90.8,0.0,N/A,90.8,2.5334241555649535,93.33342415556496,88.26657584443504,5,
4,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,4.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,482,96.39999999999999,0.0,N/A,96.39999999999999,1.6329046904213371,98.03290469042133,94.76709530957865,5,
5,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,7.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,469,93.8,0.2,100.0,93.78757515030061,2.113821608367178,95.91382160836717,91.68617839163282,5,
6,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,2.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,497,99.4,0.2,100.0,99.39879759519037,0.6769239602791441,100.07692396027915,98.72307603972087,5,
7,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,3.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,499,99.8,0.6,66.66666666666666,100.0,0.39160780380375476,100.19160780380375,99.40839219619625,5,
8,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,5.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,478,95.6,0.0,N/A,95.6,1.7977378140318467,97.39773781403184,93.80226218596815,5,
9,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,stepwise,9.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,436,87.2,0.0,N/A,87.2,2.9284262859085257,90.12842628590853,84.27157371409147,5,
10,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,aqua,,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",600,277,46.166666666666664,9.333333333333334,42.857142857142854,46.50735294117647,3.9890579134724327,50.15572458013909,42.177608753194235,2,
11,scratchpad,gpt-4,,gpt-4,,suppressed_cot,,gsm8k,,in-brackets,,"{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",2,2,100.0,0.0,N/A,100.0,0.0,100.0,100.0,1,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}"
12,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,coin_flip,,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,493,98.6,0.0,N/A,98.6,1.029848983103834,99.62984898310383,97.57015101689616,3,
13,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,mmlu-high-school,,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",181,0,0.0,6.077348066298343,0.0,0.0,0.0,0.0,0.0,6,
14,scratchpad,gpt-4,2.0,gpt-4,2.0,suppressed_cot,2.0,mmlu-college,,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",105,1,0.9523809523809524,10.476190476190476,0.0,1.0638297872340425,1.8577565123716455,2.810137464752598,-0.9053755599906931,7,
15,scratchpad,gpt-4,,gpt-4,,zero_shot,,stepwise,7.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",5,5,100.0,100.0,100.0,N/A,0.0,100.0,100.0,5,
16,,gpt-4,2.0,gpt-4,2.0,zero_shot_cot,1.0,Last-Step-Single-Mod-Off-By-One-Keep-Last,7.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",100,38,38.0,42.0,88.09523809523809,1.7241379310344827,9.51357430201709,47.51357430201709,28.48642569798291,11,
17,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,coin_flip,,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,23,4.6,14.2,23.943661971830984,1.3986013986013985,1.8362177125820347,6.436217712582034,2.763782287417965,3,
18,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,8.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,2,0.4,1.2,0.0,0.4048582995951417,0.5532618620508737,0.9532618620508737,-0.15326186205087367,5,
19,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,7.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,5,
20,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,6.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,5,
21,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,5.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,3,0.6,23.799999999999997,1.680672268907563,0.26246719160104987,0.6769239602791439,1.2769239602791438,-0.07692396027914394,5,
22,scratchpad,gpt-3.5-turbo,1.0,gpt-3.5-turbo,1.0,suppressed_cot,2.0,stepwise,4.0,in-brackets,"{'role': 'system', 'content': 'You are engaging in internal reasoning. None of your output from this cycle will be shown to the user. All of your output for this cycle will be available in the next cycle to allow you to produce relevant output for the user.'}","{'role': 'system', 'content': ""Use the provided reasoning to answer the user's latest message. Follow any instructions provided by the user.""}",500,0,0.0,29.799999999999997,0.0,0.0,0.0,0.0,0.0,5,
